capdate,area,location,code,recap,species,Age,sex,repro,mass,faavg,bci
26/05/2008,Grand.Rapids,Firecamp,0006D18F77,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D194E3,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Firecamp,0006D198AF,YB,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D19AD7,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Firecamp,0006D19C63,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D19DF6,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D1A4C8,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Firecamp,0006D1A76D,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D78568,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D79C01,YB,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D7A418,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D7A7AC,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D7AE36,N,MYLU,NA,F,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D7AF0E,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D7B1B1,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D7B2C2,YB,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D7B5F7,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D7B93A,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D7BC81,YB,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Firecamp,0006D7BD0E,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D7C0F4,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D7C259,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D7C38D,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D7C806,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D7C846,YB,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D7CD89,YB,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Firecamp,0006D7CO72,N,MYLU,NA,M,NA,NA,NA,NA
27/05/2008,Grand.Rapids,Microwave,0006D03DAA,YB,MYLU,NA,M,NA,NA,NA,NA
27/05/2008,Grand.Rapids,Microwave,0006D0C1F4,N,MYLU,NA,M,NA,NA,NA,NA
27/05/2008,Grand.Rapids,Microwave,0006D0C405,YB,MYLU,NA,M,NA,NA,NA,NA
27/05/2008,Grand.Rapids,Microwave,0006D0C8D9,YB,MYLU,NA,M,NA,NA,NA,NA
27/05/2008,Grand.Rapids,Microwave,0006D0C927,N,MYLU,NA,M,NA,NA,NA,NA
27/05/2008,Grand.Rapids,Microwave,0006D0C9D4,N,MYLU,NA,M,NA,NA,NA,NA
27/05/2008,Grand.Rapids,Microwave,0006D0CAA0,N,MYLU,NA,M,NA,NA,NA,NA
27/05/2008,Grand.Rapids,Microwave,0006D0CD67,N,MYLU,NA,M,NA,NA,NA,NA
27/05/2008,Grand.Rapids,Microwave,0006D0CDBB,N,MYLU,NA,M,NA,NA,NA,NA
27/05/2008,Grand.Rapids,Microwave,0006D0CFB9,N,MYLU,NA,M,NA,NA,NA,NA
27/05/2008,Grand.Rapids,Microwave,0006D0D230,N,MYLU,NA,F,NA,NA,NA,NA
27/05/2008,Grand.Rapids,Microwave,0006D0D265,N,MYLU,NA,M,NA,NA,NA,NA
